number,title,url,difficulty,likes,dislikes,accepted,submissions,acceptance,popularity
1473,Paint House III,https://leetcode.com/problems/paint-house-iii,Hard,412,20,10222,20752,49.25790285273708,20.6
1631,Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort,Medium,1523,74,53422,105886,50.45237330714164,20.58108108108108
951,Flip Equivalent Binary Trees,https://leetcode.com/problems/flip-equivalent-binary-trees,Medium,1231,60,86900,131287,66.19086428968596,20.516666666666666
1513,Number of Substrings With Only 1s,https://leetcode.com/problems/number-of-substrings-with-only-1s,Medium,369,18,24198,56392,42.91034189246702,20.5
1971,Find if Path Exists in Graph,https://leetcode.com/problems/find-if-path-exists-in-graph,Easy,123,6,5773,11303,51.07493585773688,20.5
922,Sort Array By Parity II,https://leetcode.com/problems/sort-array-by-parity-ii,Easy,1206,59,138477,195862,70.70131010609511,20.440677966101696
813,Largest Sum of Averages,https://leetcode.com/problems/largest-sum-of-averages,Medium,1349,66,35164,67988,51.720891922103895,20.439393939393938
1812,Determine Color of a Chessboard Square,https://leetcode.com/problems/determine-color-of-a-chessboard-square,Easy,245,12,23634,30622,77.17980536868919,20.416666666666668
514,Freedom Trail,https://leetcode.com/problems/freedom-trail,Hard,592,29,24132,53040,45.497737556561084,20.413793103448278
1129,Shortest Path with Alternating Colors,https://leetcode.com/problems/shortest-path-with-alternating-colors,Medium,856,42,26760,65390,40.92368863740633,20.38095238095238
257,Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths,Easy,2999,148,429568,769234,55.843605456857084,20.263513513513512
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements,Medium,5837,289,655872,1036195,63.29619424915195,20.197231833910035
1847,Closest Room,https://leetcode.com/problems/closest-room,Hard,242,12,4339,13651,31.785217200205114,20.166666666666668
279,Perfect Squares,https://leetcode.com/problems/perfect-squares,Medium,5013,249,429284,855676,50.16898919684554,20.132530120481928
338,Counting Bits,https://leetcode.com/problems/counting-bits,Easy,4680,233,405028,566214,71.53267139279495,20.085836909871244
904,Fruit Into Baskets,https://leetcode.com/problems/fruit-into-baskets,Medium,260,13,151243,350121,43.197351772672874,20.0
1938,Maximum Genetic Difference Query,https://leetcode.com/problems/maximum-genetic-difference-query,Hard,160,8,2415,6402,37.722586691658854,20.0
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Easy,3098,155,653761,1380826,47.34564673608405,19.98709677419355
92,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii,Medium,4536,227,400601,949663,42.18349035394661,19.98237885462555
905,Sort Array By Parity,https://leetcode.com/problems/sort-array-by-parity,Easy,2018,101,364018,485797,74.93212185336674,19.980198019801982
463,Island Perimeter,https://leetcode.com/problems/island-perimeter,Easy,3149,159,291315,431727,67.47666928406146,19.80503144654088
554,Brick Wall,https://leetcode.com/problems/brick-wall,Medium,1572,80,92046,177066,51.98400596387788,19.65
1529,Bulb Switcher IV,https://leetcode.com/problems/bulb-switcher-iv,Medium,490,25,27251,37772,72.14603409933284,19.6
1048,Longest String Chain,https://leetcode.com/problems/longest-string-chain,Medium,2367,121,137155,243013,56.439367441248,19.56198347107438
1887,Reduction Operations to Make the Array Elements Equal,https://leetcode.com/problems/reduction-operations-to-make-the-array-elements-equal,Medium,215,11,13243,21973,60.269421562827105,19.545454545454547
1019,Next Greater Node In Linked List,https://leetcode.com/problems/next-greater-node-in-linked-list,Medium,1621,83,82380,139509,59.04995376642367,19.53012048192771
1442,Count Triplets That Can Form Two Arrays of Equal XOR,https://leetcode.com/problems/count-triplets-that-can-form-two-arrays-of-equal-xor,Medium,683,35,21481,29287,73.34653600573633,19.514285714285716
1218,Longest Arithmetic Subsequence of Given Difference,https://leetcode.com/problems/longest-arithmetic-subsequence-of-given-difference,Medium,663,34,29429,61449,47.89174762811437,19.5
538,Convert BST to Greater Tree,https://leetcode.com/problems/convert-bst-to-greater-tree,Medium,2845,146,177640,290537,61.14195438102548,19.486301369863014
188,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,Hard,2861,147,199079,635801,31.31152671983844,19.462585034013607
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix,Medium,4157,214,502773,1268320,39.64086350447836,19.425233644859812
1814,Count Nice Pairs in an Array,https://leetcode.com/problems/count-nice-pairs-in-an-array,Medium,291,15,10057,25571,39.329709436471,19.4
75,Sort Colors,https://leetcode.com/problems/sort-colors,Medium,6532,337,754155,1464248,51.50459485005272,19.382789317507417
1422,Maximum Score After Splitting a String,https://leetcode.com/problems/maximum-score-after-splitting-a-string,Easy,404,21,33678,58406,57.66188405300825,19.238095238095237
1815,Maximum Number of Groups Getting Fresh Donuts,https://leetcode.com/problems/maximum-number-of-groups-getting-fresh-donuts,Hard,173,9,3318,8401,39.49529817878824,19.22222222222222
915,Partition Array into Disjoint Intervals,https://leetcode.com/problems/partition-array-into-disjoint-intervals,Medium,960,50,56585,118732,47.65775022740289,19.2
673,Number of Longest Increasing Subsequence,https://leetcode.com/problems/number-of-longest-increasing-subsequence,Medium,2618,137,86475,220840,39.15730845861257,19.10948905109489
1594,Maximum Non Negative Product in a Matrix,https://leetcode.com/problems/maximum-non-negative-product-in-a-matrix,Medium,400,21,13634,41738,32.66567636206814,19.047619047619047
331,Verify Preorder Serialization of a Binary Tree,https://leetcode.com/problems/verify-preorder-serialization-of-a-binary-tree,Medium,1252,66,93414,220083,42.44489578931585,18.96969696969697
1963,Minimum Number of Swaps to Make the String Balanced,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,Medium,265,14,11045,17477,63.197345082107915,18.928571428571427
1856,Maximum Subarray Min-Product,https://leetcode.com/problems/maximum-subarray-min-product,Medium,530,28,8123,23985,33.86700020846362,18.928571428571427
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs,Medium,4361,231,668899,1213221,55.13414291378076,18.87878787878788
97,Interleaving String,https://leetcode.com/problems/interleaving-string,Medium,2975,158,224858,664109,33.85859851319587,18.829113924050635
1290,Convert Binary Number in a Linked List to Integer,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,Easy,1503,80,203002,248311,81.75312410646328,18.7875
1456,Maximum Number of Vowels in a Substring of Given Length,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,Medium,526,28,34778,62046,56.051961447957964,18.785714285714285
1962,Remove Stones to Minimize the Total,https://leetcode.com/problems/remove-stones-to-minimize-the-total,Medium,150,8,11960,22879,52.275012019756105,18.75
1942,The Number of the Smallest Unoccupied Chair,https://leetcode.com/problems/the-number-of-the-smallest-unoccupied-chair,Medium,281,15,8114,22203,36.54461108859163,18.733333333333334
1935,Maximum Number of Words You Can Type,https://leetcode.com/problems/maximum-number-of-words-you-can-type,Easy,131,7,17593,24212,72.66231620683958,18.714285714285715
1827,Minimum Operations to Make the Array Increasing,https://leetcode.com/problems/minimum-operations-to-make-the-array-increasing,Easy,318,17,26254,33719,77.86114653459474,18.705882352941178
1027,Longest Arithmetic Subsequence,https://leetcode.com/problems/longest-arithmetic-subsequence,Medium,1590,85,70956,144912,48.96488903610467,18.705882352941178
589,N-ary Tree Preorder Traversal,https://leetcode.com/problems/n-ary-tree-preorder-traversal,Easy,1290,69,184011,245589,74.926401426774,18.695652173913043
741,Cherry Pickup,https://leetcode.com/problems/cherry-pickup,Hard,1924,103,42686,119509,35.717812047628215,18.679611650485437
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Medium,6501,349,982924,2680461,36.669960876132876,18.62750716332378
182,Duplicate Emails,https://leetcode.com/problems/duplicate-emails,Easy,782,42,272187,408157,66.68683864297317,18.61904761904762
1926,Nearest Exit from Entrance in Maze,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze,Medium,242,13,8940,24697,36.198728590517064,18.615384615384617
486,Predict the Winner,https://leetcode.com/problems/predict-the-winner,Medium,2283,123,94837,191807,49.443972326348884,18.5609756097561
784,Letter Case Permutation,https://leetcode.com/problems/letter-case-permutation,Medium,2366,128,154451,221904,69.60262095320499,18.484375
1339,Maximum Product of Splitted Binary Tree,https://leetcode.com/problems/maximum-product-of-splitted-binary-tree,Medium,960,52,48118,113912,42.241379310344826,18.46153846153846
1505,Minimum Possible Integer After at Most K Adjacent Swaps On Digits,https://leetcode.com/problems/minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,Hard,258,14,6259,17099,36.60447979414001,18.428571428571427
241,Different Ways to Add Parentheses,https://leetcode.com/problems/different-ways-to-add-parentheses,Medium,2579,140,132959,225865,58.866579594005266,18.42142857142857
1010,Pairs of Songs With Total Durations Divisible by 60,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,Medium,1639,89,117560,228208,51.51440790857463,18.415730337078653
1477,Find Two Non-overlapping Sub-arrays Each With Target Sum,https://leetcode.com/problems/find-two-non-overlapping-sub-arrays-each-with-target-sum,Medium,919,50,28992,80870,35.850129838011625,18.38
218,The Skyline Problem,https://leetcode.com/problems/the-skyline-problem,Hard,3197,174,181992,485820,37.4607879461529,18.373563218390803
199,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view,Medium,4679,255,503539,873983,57.614278538598576,18.349019607843136
646,Maximum Length of Pair Chain,https://leetcode.com/problems/maximum-length-of-pair-chain,Medium,1703,93,89049,163723,54.3900368305003,18.311827956989248
307,Range Sum Query - Mutable,https://leetcode.com/problems/range-sum-query-mutable,Medium,2267,124,159873,420895,37.984057781631996,18.282258064516128
994,Rotting Oranges,https://leetcode.com/problems/rotting-oranges,Medium,4145,227,244306,487627,50.10099932940547,18.259911894273127
730,Count Different Palindromic Subsequences,https://leetcode.com/problems/count-different-palindromic-subsequences,Hard,983,54,22298,51310,43.4574157084389,18.203703703703702
477,Total Hamming Distance,https://leetcode.com/problems/total-hamming-distance,Medium,1274,70,76803,150099,51.168228968880534,18.2
786,K-th Smallest Prime Fraction,https://leetcode.com/problems/k-th-smallest-prime-fraction,Hard,596,33,21555,46980,45.88122605363984,18.060606060606062
547,Number of Provinces,https://leetcode.com/problems/number-of-provinces,Medium,3645,202,314725,509224,61.804824595855656,18.044554455445546
260,Single Number III,https://leetcode.com/problems/single-number-iii,Medium,2623,146,202982,308776,65.73762209498148,17.965753424657535
1943,Describe the Painting,https://leetcode.com/problems/describe-the-painting,Medium,197,11,5295,11853,44.67223487724626,17.90909090909091
429,N-ary Tree Level Order Traversal,https://leetcode.com/problems/n-ary-tree-level-order-traversal,Medium,1379,77,141134,207883,67.8910733441407,17.90909090909091
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,Medium,768,43,28516,57803,49.333079597944746,17.86046511627907
965,Univalued Binary Tree,https://leetcode.com/problems/univalued-binary-tree,Easy,963,54,132978,194948,68.21203603012084,17.833333333333332
1861,Rotating the Box,https://leetcode.com/problems/rotating-the-box,Medium,303,17,11790,18833,62.602877927042954,17.823529411764707
792,Number of Matching Subsequences,https://leetcode.com/problems/number-of-matching-subsequences,Medium,2111,119,93133,189429,49.16512255251308,17.73949579831933
1624,Largest Substring Between Two Equal Characters,https://leetcode.com/problems/largest-substring-between-two-equal-characters,Easy,283,16,24125,41094,58.70686718255706,17.6875
931,Minimum Falling Path Sum,https://leetcode.com/problems/minimum-falling-path-sum,Medium,1503,85,84462,129836,65.05283588527065,17.68235294117647
451,Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency,Medium,2773,157,277643,423430,65.56998795550622,17.662420382165607
1673,Find the Most Competitive Subsequence,https://leetcode.com/problems/find-the-most-competitive-subsequence,Medium,952,54,35331,75450,46.82703777335984,17.62962962962963
1589,Maximum Sum Obtained of Any Permutation,https://leetcode.com/problems/maximum-sum-obtained-of-any-permutation,Medium,387,22,9791,27481,35.628252247007026,17.59090909090909
701,Insert into a Binary Search Tree,https://leetcode.com/problems/insert-into-a-binary-search-tree,Medium,1825,104,198882,265729,74.84391993346605,17.548076923076923
670,Maximum Swap,https://leetcode.com/problems/maximum-swap,Medium,1753,100,109984,240114,45.80490933473267,17.53
796,Rotate String,https://leetcode.com/problems/rotate-string,Easy,1332,76,113120,228617,49.48013489810469,17.526315789473685
242,Valid Anagram,https://leetcode.com/problems/valid-anagram,Easy,3095,177,907975,1520549,59.71362974820279,17.48587570621469
1510,Stone Game IV,https://leetcode.com/problems/stone-game-iv,Hard,489,28,29987,50559,59.31090409224866,17.464285714285715
1558,Minimum Numbers of Function Calls to Make Target Array,https://leetcode.com/problems/minimum-numbers-of-function-calls-to-make-target-array,Medium,314,18,12882,20283,63.51131489424642,17.444444444444443
698,Partition to K Equal Sum Subsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,Medium,3518,202,142950,316443,45.17401238137674,17.415841584158414
875,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas,Medium,1931,111,89598,166004,53.973398231367916,17.396396396396398
1301,Number of Paths with Max Score,https://leetcode.com/problems/number-of-paths-with-max-score,Hard,243,14,7804,20392,38.26990976853668,17.357142857142858
993,Cousins in Binary Tree,https://leetcode.com/problems/cousins-in-binary-tree,Easy,1822,105,161430,307768,52.451846845675966,17.35238095238095
1047,Remove All Adjacent Duplicates In String,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,Easy,2134,123,197759,277150,71.35450117265019,17.349593495934958
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1,Medium,4003,231,372151,746613,49.845234411937646,17.32900432900433
1347,Minimum Number of Steps to Make Two Strings Anagram,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,Medium,797,46,64351,85602,75.17464545220906,17.32608695652174
934,Shortest Bridge,https://leetcode.com/problems/shortest-bridge,Medium,1731,100,62649,122341,51.208507368748016,17.31
456,132 Pattern,https://leetcode.com/problems/132-pattern,Medium,2609,151,94339,307303,30.699016931172167,17.278145695364238
1352,Product of the Last K Numbers,https://leetcode.com/problems/product-of-the-last-k-numbers,Medium,656,38,36288,78399,46.28630467225347,17.263157894736842
1091,Shortest Path in Binary Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix,Medium,1500,87,103482,253149,40.87790194707465,17.24137931034483
1980,Find Unique Binary String,https://leetcode.com/problems/find-unique-binary-string,Medium,155,9,10723,17744,60.43169522091974,17.22222222222222
1639,Number of Ways to Form a Target String Given a Dictionary,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,Hard,172,10,4867,11809,41.2143280548734,17.2
1632,Rank Transform of a Matrix,https://leetcode.com/problems/rank-transform-of-a-matrix,Hard,498,29,14759,36256,40.70774492497794,17.17241379310345
264,Ugly Number II,https://leetcode.com/problems/ugly-number-ii,Medium,3020,176,219700,503404,43.64287927787622,17.15909090909091
980,Unique Paths III,https://leetcode.com/problems/unique-paths-iii,Hard,1750,102,79471,102671,77.40355114881515,17.15686274509804
1105,Filling Bookcase Shelves,https://leetcode.com/problems/filling-bookcase-shelves,Medium,1029,60,27393,47318,57.891288727334214,17.15
907,Sum of Subarray Minimums,https://leetcode.com/problems/sum-of-subarray-minimums,Medium,2380,139,46858,142448,32.8948107379535,17.12230215827338
1000,Minimum Cost to Merge Stones,https://leetcode.com/problems/minimum-cost-to-merge-stones,Hard,1161,68,22878,55503,41.219393546294796,17.073529411764707
765,Couples Holding Hands,https://leetcode.com/problems/couples-holding-hands,Hard,1279,75,37460,66871,56.01830389855094,17.053333333333335
1721,Swapping Nodes in a Linked List,https://leetcode.com/problems/swapping-nodes-in-a-linked-list,Medium,903,53,67918,102572,66.21495144873845,17.037735849056602
1974,Minimum Time to Type Word Using Special Typewriter,https://leetcode.com/problems/minimum-time-to-type-word-using-special-typewriter,Easy,102,6,8110,11093,73.1091679437483,17.0
1957,Delete Characters to Make Fancy String,https://leetcode.com/problems/delete-characters-to-make-fancy-string,Easy,101,6,11084,20422,54.27480168445794,16.833333333333332
1717,Maximum Score From Removing Substrings,https://leetcode.com/problems/maximum-score-from-removing-substrings,Medium,286,17,7182,16834,42.66365688487584,16.823529411764707
516,Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence,Medium,3806,227,194359,339209,57.29771320926037,16.766519823788546
363,Max Sum of Rectangle No Larger Than K,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k,Hard,1676,100,73136,182536,40.066616996099405,16.76
110,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree,Easy,4168,249,620683,1363702,45.51456256572184,16.73895582329317
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring,Medium,12919,774,1437381,4616498,31.135744020684076,16.691214470284237
1269,Number of Ways to Stay in the Same Place After Some Steps,https://leetcode.com/problems/number-of-ways-to-stay-in-the-same-place-after-some-steps,Hard,417,25,22298,51465,43.32653259496745,16.68
795,Number of Subarrays with Bounded Maximum,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum,Medium,1300,78,44787,86136,51.99568124825856,16.666666666666668
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array,Medium,6599,396,998341,1648420,60.56350929981436,16.664141414141415
1171,Remove Zero Sum Consecutive Nodes from Linked List,https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list,Medium,1066,64,28936,69018,41.92529485061868,16.65625
1871,Jump Game VII,https://leetcode.com/problems/jump-game-vii,Medium,483,29,13431,55136,24.35976494486361,16.655172413793103
543,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree,Easy,5569,336,535064,1046891,51.10980990380087,16.574404761904763
921,Minimum Add to Make Parentheses Valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,Medium,1519,92,122640,160961,76.19236958020888,16.51086956521739
1147,Longest Chunked Palindrome Decomposition,https://leetcode.com/problems/longest-chunked-palindrome-decomposition,Hard,330,20,14077,23421,60.10418000939328,16.5
462,Minimum Moves to Equal Array Elements II,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii,Medium,1032,63,73951,132575,55.78050160286631,16.38095238095238
1557,Minimum Number of Vertices to Reach All Nodes,https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes,Medium,835,51,36902,48292,76.41431292967779,16.372549019607842
1106,Parsing A Boolean Expression,https://leetcode.com/problems/parsing-a-boolean-expression,Hard,442,27,15288,25610,59.69543147208122,16.37037037037037
334,Increasing Triplet Subsequence,https://leetcode.com/problems/increasing-triplet-subsequence,Medium,2864,175,221179,539306,41.01178180847237,16.365714285714287
1263,Minimum Moves to Move a Box to Their Target Location,https://leetcode.com/problems/minimum-moves-to-move-a-box-to-their-target-location,Hard,425,26,11898,25237,47.14506478583033,16.346153846153847
887,Super Egg Drop,https://leetcode.com/problems/super-egg-drop,Hard,1787,110,35998,133747,26.914996224214377,16.245454545454546
680,Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii,Easy,3101,191,306190,815016,37.568587610549976,16.23560209424084
590,N-ary Tree Postorder Traversal,https://leetcode.com/problems/n-ary-tree-postorder-traversal,Easy,1212,75,148472,198124,74.93892713654076,16.16
55,Jump Game,https://leetcode.com/problems/jump-game,Medium,7479,463,711756,1974913,36.03986605992264,16.153347732181427
974,Subarray Sums Divisible by K,https://leetcode.com/problems/subarray-sums-divisible-by-k,Medium,2003,124,70630,135854,51.989635932692444,16.153225806451612
1684,Count the Number of Consistent Strings,https://leetcode.com/problems/count-the-number-of-consistent-strings,Easy,484,30,57608,70490,81.72506738544473,16.133333333333333
1657,Determine if Two Strings Are Close,https://leetcode.com/problems/determine-if-two-strings-are-close,Medium,515,32,35035,64004,54.73876632710456,16.09375
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring,Hard,7846,488,603200,1611035,37.44176880080197,16.077868852459016
48,Rotate Image,https://leetcode.com/problems/rotate-image,Medium,6118,381,662136,1049969,63.06243327183946,16.057742782152232
798,Smallest Rotation with Highest Score,https://leetcode.com/problems/smallest-rotation-with-highest-score,Hard,289,18,7647,16515,46.30336058128974,16.055555555555557
850,Rectangle Area II,https://leetcode.com/problems/rectangle-area-ii,Hard,690,43,25325,48027,52.73075561663231,16.046511627906977
821,Shortest Distance to a Character,https://leetcode.com/problems/shortest-distance-to-a-character,Easy,1796,112,115473,163895,70.45547454162727,16.035714285714285
692,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words,Medium,3474,217,308248,574581,53.647440482716966,16.00921658986175
1535,Find the Winner of an Array Game,https://leetcode.com/problems/find-the-winner-of-an-array-game,Medium,384,24,21595,44598,48.421453876855466,16.0
1345,Jump Game IV,https://leetcode.com/problems/jump-game-iv,Hard,783,49,37847,89844,42.12523930368194,15.979591836734693
1829,Maximum XOR for Each Query,https://leetcode.com/problems/maximum-xor-for-each-query,Medium,221,14,10399,13927,74.66791125152581,15.785714285714286
318,Maximum Product of Word Lengths,https://leetcode.com/problems/maximum-product-of-word-lengths,Medium,1418,90,132399,237646,55.71269871994479,15.755555555555556
1038,Binary Search Tree to Greater Sum Tree,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,Medium,1855,118,94923,113619,83.54500567686742,15.720338983050848
373,Find K Pairs with Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,Medium,2306,147,141966,364118,38.98900905750334,15.687074829931973
1539,Kth Missing Positive Number,https://leetcode.com/problems/kth-missing-positive-number,Easy,1389,89,103979,189901,54.754319355874905,15.606741573033707
870,Advantage Shuffle,https://leetcode.com/problems/advantage-shuffle,Medium,1091,70,48127,94715,50.81243731193581,15.585714285714285
1419,Minimum Number of Frogs Croaking,https://leetcode.com/problems/minimum-number-of-frogs-croaking,Medium,513,33,19881,40871,48.64329230995082,15.545454545454545
480,Sliding Window Median,https://leetcode.com/problems/sliding-window-median,Hard,1678,108,85353,214044,39.8763805572686,15.537037037037036
689,Maximum Sum of 3 Non-Overlapping Subarrays,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays,Hard,1381,89,56833,118799,47.839628279699326,15.51685393258427
1287,Element Appearing More Than 25% In Sorted Array,https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array,Easy,527,34,50839,85018,59.797925145263356,15.5
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum,Hard,6826,441,565982,1555274,36.391143939910265,15.47845804988662
1537,Get the Maximum Score,https://leetcode.com/problems/get-the-maximum-score,Hard,417,27,12069,32206,37.474383655219526,15.444444444444445
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,Easy,4704,305,605895,956017,63.37701107825489,15.422950819672131
766,Toeplitz Matrix,https://leetcode.com/problems/toeplitz-matrix,Easy,1526,99,138487,209137,66.21831622333686,15.414141414141413
546,Remove Boxes,https://leetcode.com/problems/remove-boxes,Hard,1290,84,30898,65507,47.16747828476346,15.357142857142858
95,Unique Binary Search Trees II,https://leetcode.com/problems/unique-binary-search-trees-ii,Medium,3526,233,246037,548410,44.863696869130756,15.133047210300429
1122,Relative Sort Array,https://leetcode.com/problems/relative-sort-array,Easy,1301,86,105030,154732,67.87865470620169,15.127906976744185
838,Push Dominoes,https://leetcode.com/problems/push-dominoes,Medium,1360,90,51560,99492,51.82326217183291,15.11111111111111
611,Valid Triangle Number,https://leetcode.com/problems/valid-triangle-number,Medium,2008,133,117277,239086,49.05222388596572,15.097744360902256
653,Two Sum IV - Input is a BST,https://leetcode.com/problems/two-sum-iv-input-is-a-bst,Easy,2596,173,236709,411465,57.52834384455543,15.00578034682081
1880,Check if Word Equals Summation of Two Words,https://leetcode.com/problems/check-if-word-equals-summation-of-two-words,Easy,224,15,30699,42541,72.16332479255307,14.933333333333334
557,Reverse Words in a String III,https://leetcode.com/problems/reverse-words-in-a-string-iii,Easy,1635,110,279287,379146,73.66212488065284,14.863636363636363
854,K-Similar Strings,https://leetcode.com/problems/k-similar-strings,Hard,665,45,26213,67807,38.65825062309201,14.777777777777779
841,Keys and Rooms,https://leetcode.com/problems/keys-and-rooms,Medium,2214,150,147251,218833,67.28921140778584,14.76
530,Minimum Absolute Difference in BST,https://leetcode.com/problems/minimum-absolute-difference-in-bst,Easy,1502,102,126990,228557,55.56163232804071,14.72549019607843
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water,Medium,11367,772,1063473,2003849,53.0715138715542,14.724093264248705
1609,Even Odd Tree,https://leetcode.com/problems/even-odd-tree,Medium,411,28,23352,44579,52.38340922856053,14.678571428571429
669,Trim a Binary Search Tree,https://leetcode.com/problems/trim-a-binary-search-tree,Medium,3110,212,168721,262006,64.39585353007183,14.669811320754716
1095,Find in Mountain Array,https://leetcode.com/problems/find-in-mountain-array,Hard,672,46,31250,86560,36.102125693160815,14.608695652173912
448,Find All Numbers Disappeared in an Array,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,Easy,4691,323,420610,738581,56.94839157790411,14.523219814241486
496,Next Greater Element I,https://leetcode.com/problems/next-greater-element-i,Easy,493,34,244521,364457,67.0918654326848,14.5
1337,The K Weakest Rows in a Matrix,https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix,Easy,1083,75,84465,117244,72.04206611852206,14.44
1700,Number of Students Unable to Eat Lunch,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch,Easy,433,30,22853,33725,67.76278724981468,14.433333333333334
1268,Search Suggestions System,https://leetcode.com/problems/search-suggestions-system,Medium,1457,101,100192,152813,65.56510244547256,14.425742574257425
460,LFU Cache,https://leetcode.com/problems/lfu-cache,Hard,2376,165,121344,321954,37.68985631487728,14.4
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self,Medium,8572,596,856426,1378671,62.1196790242197,14.38255033557047
799,Champagne Tower,https://leetcode.com/problems/champagne-tower,Medium,886,62,35974,81134,44.338994749426874,14.290322580645162
476,Number Complement,https://leetcode.com/problems/number-complement,Easy,1286,90,219499,335856,65.35509265875852,14.28888888888889
801,Minimum Swaps To Make Sequences Increasing,https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing,Hard,1723,121,46581,119591,38.95025545400574,14.239669421487603
650,2 Keys Keyboard,https://leetcode.com/problems/2-keys-keyboard,Medium,2034,143,85145,166605,51.10590918639897,14.223776223776223
142,Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii,Medium,4904,345,500905,1214130,41.25629051254808,14.214492753623189
1022,Sum of Root To Leaf Binary Numbers,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers,Easy,1448,102,105648,146526,72.10187952991278,14.196078431372548
1255,Maximum Score Words Formed by Letters,https://leetcode.com/problems/maximum-score-words-formed-by-letters,Hard,410,29,15362,21673,70.88081945277534,14.137931034482758
1526,Minimum Number of Increments on Subarrays to Form a Target Array,https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array,Hard,565,40,16206,24572,65.9531173693635,14.125
1959,Minimum Total Space Wasted With K Resizing Operations,https://leetcode.com/problems/minimum-total-space-wasted-with-k-resizing-operations,Medium,254,18,3310,8271,40.01934469834361,14.11111111111111
1292,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,https://leetcode.com/problems/maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold,Medium,617,44,20148,39068,51.57161871608478,14.022727272727273
1331,Rank Transform of an Array,https://leetcode.com/problems/rank-transform-of-an-array,Easy,601,43,40915,70801,57.788731797573476,13.976744186046512
1436,Destination City,https://leetcode.com/problems/destination-city,Easy,725,52,81028,104723,77.37364284827592,13.942307692307692
35,Search Insert Position,https://leetcode.com/problems/search-insert-position,Easy,4328,312,917958,2153301,42.630268596912366,13.871794871794872
